,1,1074563512248
1503,2492,1074567306814
1503,2493,1074567308317
1503,2494,1074567309820
1502,2495,1074567311322
1503,2496,1074567312825
1503,2497,1074567314328
1503,2498,1074567315831
1503,2499,1074567317334
1502,2500,1074567318836
1503,2501,1074567320339
1503,2502,1074567321842
1503,2503,1074567323345
1503,2504,1074567324848
1502,2505,1074567326350
1503,2506,1074567327853
1503,2507,1074567329356
1503,2508,1074567330859
1503,2509,1074567332362
1502,2510,1074567333864
1503,2511,1074567335367
1503,2512,1074567336870
1503,2513,1074567338373
1503,2514,1074567339876
1503,2515,1074567341379
1502,2516,1074567342881
1503,2517,1074567344384
1503,2518,1074567345887
1503,2519,1074567347390
3005,2520,1074567350395
1503,2521,1074567351898
1503,2522,1074567353401
1503,2523,1074567354904
1503,2524,1074567356407
1502,2525,1074567357909
1503,2526,1074567359412
1503,2527,1074567360915
1503,2528,1074567362418
1503,2529,1074567363921
1503,2530,1074567365424
1502,2531,1074567366926
1503,2532,1074567368429
1503,2533,1074567369932
1503,2534,1074567371435
1502,2535,1074567372937
1503,2536,1074567374440
1503,2537,1074567375943
1503,2538,1074567377446
1503,2539,1074567378949
1502,2540,1074567380451
1503,2541,1074567381954
1503,2542,1074567383457
1503,2543,1074567384960
1502,2544,1074567386462
1503,2545,1074567387965
1517,2546,1074567389482
1489,2547,1074567390971
1503,2548,1074567392474
1502,2549,1074567393976
1504,2550,1074567395480
1502,2551,1074567396982
1503,2552,1074567398485
1503,2553,1074567399988
1502,2554,1074567401490
1503,2555,1074567402993
1503,2556,1074567404496
1503,2557,1074567405999
1503,2558,1074567407502
1517,2559,1074567409019
1488,2560,1074567410507
1503,2561,1074567412010
1503,2562,1074567413513
1503,2563,1074567415016
1503,2564,1074567416519
1502,2565,1074567418021
1503,2566,1074567419524
1503,2567,1074567421027
1503,2568,1074567422530
1502,2569,1074567424032
1503,2570,1074567425535
1503,2571,1074567427038
1503,2572,1074567428541
1503,2573,1074567430044
1502,2574,1074567431546
1503,2575,1074567433049
1503,2576,1074567434552
1503,2577,1074567436055
1503,2578,1074567437558
1503,2579,1074567439061
1502,2580,1074567440563
1503,2581,1074567442066
1503,2582,1074567443569
1503,2583,1074567445072
1502,2584,1074567446574
1503,2585,1074567448077
1503,2586,1074567449580
1503,2587,1074567451083
1503,2588,1074567452586
1502,2589,1074567454088
1503,2590,1074567455591
1503,2591,1074567457094
1503,2592,1074567458597
1503,2593,1074567460100
1502,2594,1074567461602
1503,2595,1074567463105
1503,2596,1074567464608
1503,2597,1074567466111
1503,2598,1074567467614
1502,2599,1074567469116
1503,2600,1074567470619
1503,2601,1074567472122
1503,2602,1074567473625
1503,2603,1074567475128
1502,2604,1074567476630
1503,2605,1074567478133
1503,2606,1074567479636
1503,2607,1074567481139
1503,2608,1074567482642
1502,2609,1074567484144
1503,2610,1074567485647
1503,2611,1074567487150
1503,2612,1074567488653
1502,2613,1074567490155
1503,2614,1074567491658
1503,2615,1074567493161
1503,2616,1074567494664
1503,2617,1074567496167
1503,2618,1074567497670
1503,2619,1074567499173
1502,2620,1074567500675
1503,2621,1074567502178
1503,2622,1074567503681
1502,2623,1074567505183
1503,2624,1074567506686
1504,2625,1074567508190
1502,2626,1074567509692
1503,2627,1074567511195
1502,2628,1074567512697
1503,2629,1074567514200
1503,2630,1074567515703
1503,2631,1074567517206
1503,2632,1074567518709
1503,2633,1074567520212
1502,2634,1074567521714
1503,2635,1074567523217
1503,2636,1074567524720
1503,2637,1074567526223
1503,2638,1074567527726
1502,2639,1074567529228
1503,2640,1074567530731
1503,2641,1074567532234
1503,2642,1074567533737
1502,2643,1074567535239
1503,2644,1074567536742
1503,2645,1074567538245
1503,2646,1074567539748
1503,2647,1074567541251
1502,2648,1074567542753
1503,2649,1074567544256
1503,2650,1074567545759
1503,2651,1074567547262
1503,2652,1074567548765
1502,2653,1074567550267
3006,2654,1074567553273
1503,2655,1074567554776
1503,2656,1074567556279
1502,2657,1074567557781
1503,2658,1074567559284
1503,2659,1074567560787
1503,2660,1074567562290
1503,2661,1074567563793
1502,2662,1074567565295
1503,2663,1074567566798
1503,2664,1074567568301
1503,2665,1074567569804
1503,2666,1074567571307
1502,2667,1074567572809
1503,2668,1074567574312
1503,2669,1074567575815
1503,2670,1074567577318
1503,2671,1074567578821
1503,2672,1074567580324
1502,2673,1074567581826
1503,2674,1074567583329
